step,position
349, 0.000763
350, 0.000744
351, 0.000725
352, 0.000707
353, 0.000689
354, 0.000672
355, 0.000655
356, 0.000639
357, 0.000623
358, 0.000607
359, 0.000592
360, 0.000577
361, 0.000563
362, 0.000549
363, 0.000535
364, 0.000522
365, 0.000509
366, 0.000496
367, 0.000483
368, 0.000471
369, 0.000460
370, 0.000448
371, 0.000437
372, 0.000426
373, 0.000415
374, 0.000405
375, 0.000395
376, 0.000385
377, 0.000375
378, 0.000366
379, 0.000357
380, 0.000348
381, 0.000339
382, 0.000331
383, 0.000322
384, 0.000314
385, 0.000306
386, 0.000299
387, 0.000291
388, 0.000284
389, 0.000277
390, 0.000270
391, 0.000263
392, 0.000257
393, 0.000250
394, 0.000244
395, 0.000238
396, 0.000232
397, 0.000226
398, 0.000220
399, 0.000215
400, 0.000369
401, 0.000679
402, 0.001146
403, 0.001769
404, 0.002549
405, 0.003486
406, 0.004579
407, 0.005829
408, 0.007236
409, 0.008799
410, 0.010520
411, 0.012078
412, 0.013480
413, 0.014726
414, 0.015816
415, 0.016749
416, 0.017526
417, 0.018147
418, 0.018611
419, 0.018918
420, 0.019069
421, 0.019063
422, 0.018900
423, 0.018580
424, 0.018119
425, 0.017666
426, 0.017224
427, 0.016793
428, 0.016373
429, 0.015964
430, 0.015564
431, 0.015175
432, 0.014795
433, 0.014425
434, 0.014064
435, 0.013712
436, 0.013369
437, 0.013035
438, 0.012709
439, 0.012391
440, 0.012081
441, 0.011779
442, 0.011484
443, 0.011197
444, 0.010917
445, 0.010644
446, 0.010377
447, 0.010118
448, 0.009865
449, 0.009618
450, 0.009377
451, 0.009143
452, 0.008914
453, 0.008691
454, 0.008474
455, 0.008262
456, 0.008055
457, 0.007853
458, 0.007657
459, 0.007465
460, 0.007279
461, 0.007097
462, 0.006919
463, 0.006746
464, 0.006577
465, 0.006413
466, 0.006252
467, 0.006096
468, 0.005943
469, 0.005795
470, 0.005650
471, 0.005508
472, 0.005371
473, 0.005236
474, 0.005105
475, 0.004977
476, 0.004853
477, 0.004732
478, 0.004613
479, 0.004498
480, 0.004385
